4.99.1.M4	phenylacetonitrile-specifying protein	RXN-12025+RXN-8136+RXNQT-4351
2.7.2.8	acetylglutamate kinase	ACETYLGLUTKIN-RXN
1.2.1.38	N-acetylglutamylphosphate reductase	N-ACETYLGLUTPREDUCT-RXN
2.6.1.11	N-acetylornithine aminotransferase	ACETYLORNTRANSAM-RXN
3.5.1.16	acetylornithine deacetylase	ACETYLORNDEACET-RXN
2.1.3.3	ornithine carbamoyltransferase	ORNCARBAMTRANSFER-RXN
3.5.3.6	arginine deiminase	ARGININE-DEIMINASE-RXN
3.2.2.9	adenosylhomocysteine nucleosidase	ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN
2.3.1.19	phosphotransbutyrylase	PHOSPHATE-BUTYRYLTRANSFERASE-RXN
2.7.2.7/2.7.2.14	butyrate kinase	BUTYRATE-KINASE-RXN
3.2.2.9/3.2.2.16	5'-methylthioadenosine nucleosidase	METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN
2.7.1.100	MTR kinase	5-METHYLTHIORIBOSE-KINASE-RXN
5.3.1.23	5-methylthioribose-1-phosphate isomerase	5.3.1.23-RXN
4.2.1.109	methylthioribulose-1-phosphate dehydratase	R145-RXN
5.3.2.5	2,3-diketo-5-methylthiopentyl-1-phosphate enolase	R82-RXN
3.1.3.87	2-hydroxy-3-keto-5-methylthiopentenyl-1- phosphate phosphatase	R83-RXN
1.13.11.54	1,2-dihydroxy-5-(methylthio)pent-1-en-3-one:oxygen oxidoreductase (formate-forming)	R147-RXN
2.6.1.117	2-oxo-4-methylthiobutanoate-glutamine aminotransferase	RXN-15650
3.5.1.111	2-oxoglutaramate amidase	RXN-13072
4.4.1.14	1-aminocyclopropane-1-carboxylate synthase	4.4.1.14-RXN
3.5.1.3/3.5.1.111	2-oxoglutaramate amidase	RXN-13072
2.4.2.28	S-methyl-5'-thioadenosine phosphorylase	5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN
1.13.11.11/1.13.11.52	L-tryptophan 2,3-dioxygenase	RXN-8665
1.14.13.9	kynurenine 3-monooxygenase	KYNURENINE-3-MONOOXYGENASE-RXN
2.6.1.7	kynurenine--oxoglutarate transaminase	RXN-10721+2.6.1.7-RXN
2.8.3.17	(indol-3-yl)-acryloyl-CoA:(indol-3-yl)-(R)-lactate CoA-transferase	RXN-19895
4.2.1.175	(indol-3-yl)-(R)-lactoyl-CoA dehydratase	RXN-19896
1.3.8.15	(indolyl)propenoate reducatse	RXN-19885
1.1.1.369	1D-chiro-inositol 1-dehydrogenase	RXN-14148
1.1.1.18	myo-inositol 2-dehydrogenase	MYO-INOSITOL-2-DEHYDROGENASE-RXN
5.3.99.11	scyllo-inosose epimerase/isomerase	RXN-14178
4.2.1.44	scyllo-inosose dehydratase	MYO-INOSOSE-2-DEHYDRATASE-RXN
3.7.1.22	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase	RXN-14149
5.3.1.30	5-deoxy-D-glucuronate isomerase	RXN-14150
2.7.1.92	5-dehydro-2-deoxy-D-gluconate kinase	5-DEHYDRO-2-DEOXYGLUCONOKINASE-RXN
4.1.2.29	5-dehydro-2-deoxyphosphogluconate aldolase	4.1.2.29-RXN
1.2.1.18	malonate-semialdehyde dehydrogenase	RXN-2902
2.7.1.59	N-acetylglucosamine kinase	N-ACETYLGLUCOSAMINE-KINASE-RXN
1.7.2.5	nitric oxide reductase	NITRIC-OXIDE-REDUCTASE-RXN
6.3.1.15	8-demethylnovobiocate synthase	RXN-14547
2.1.1.284	8-demethylnovobiocic acid C8-methyltransferase	RXN-14543
2.4.1.302	4-O-demethyl-L-noviosyl transferase	RXN-14544
2.1.1.285	demethyldecarbamoyl novobiocin O-methyltransferase	RXN-14545
2.1.3.12	decarbamoylnovobiocin carbamoyltransferase	RXN-14546
5.1.1.3	glutamate racemase	GLUTRACE-RXN
6.3.2.4	D-alanine--D-alanine ligase	DALADALALIG-RXN
1.3.1.98	UDP-N-acetylenolpyruvoylglucosamine reductase	UDPNACETYLMURAMATEDEHYDROG-RXN
6.3.2.8	UDP-N-acetylmuramate--L-alanine ligase	UDP-NACMUR-ALA-LIG-RXN
6.3.2.9	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	UDP-NACMURALA-GLU-LIG-RXN
6.3.2.13	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	UDP-NACMURALGLDAPLIG-RXN
6.3.2.10	D-alanyl-D-alanine-adding enzyme	UDP-NACMURALGLDAPAALIG-RXN+6.3.2.10-RXN
2.7.8.13	phospho-N-acetylmuramoyl-pentapeptide-transferase	PHOSNACMURPENTATRANS-RXN+RXN-8975
2.4.1.227	N-acetylglucosaminyl transferase	NACGLCTRANS-RXN+RXN-8976+RXN-11029
2.5.1.7	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
6.3.2.7	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--lysine ligase	6.3.2.7-RXN
6.3.5.13	L-glutamate--lipid II transaminase	RXN-20088
2.3.2.16	N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine-diphosphoundecaprenyl-N-acetylglucosamine:glycine transferase	RXN-11295
2.3.2.17	N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-(glycine)-D-alanyl-D-alanine-diphosphoundecaprenyl-N-acetylglucosamine:glycine transferase	RXN-11296
2.3.2.18	N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-(glycine)3-D-alanyl-D-alanine-diphosphoundecaprenyl-N-acetylglucosamine:glycine transferase	RXN-11297
2.4.1.129	peptidoglycan glycosyltransferase	RXN-11291+RXN-15521+2.4.1.129-RXN
1.17.1.4	hypoxanthine dehydrogenase	RXN-7682+RXN0-901
1.1.1.205	IMP dehydrogenase	IMP-DEHYDROG-RXN
3.2.2.1	xanthosine nucleosidase	RXN0-363
3.1.3.5	AMP 5'-nucleotidase	AMP-DEPHOSPHORYLATION-RXN+RXN-7609+XMPXAN-RXN
3.5.4.4	adenosine deaminase	ADENODEAMIN-RXN
3.5.4.1	cytosine deaminase	CYTDEAM-RXN
2.4.2.9	uracil phosphoribosyltransferase	URACIL-PRIBOSYLTRANS-RXN
6.2.1.13	acetate-CoA ligase (ADP-forming)	ACETATE--COA-LIGASE-ADP-FORMING-RXN
2.4.1.14	sucrose phosphate synthase	SUCROSE-PHOSPHATE-SYNTHASE-RXN
3.1.3.24	sucrose-phosphate phosphatase	SUCROSE-PHOSPHATASE-RXN
2.7.1.159	Ins(1,3,4)P3 6-kinase	2.7.1.133-RXN
2.7.1.140	myo-inositol-1,3,4,6-tetrakisphosphate 5-kinase	2.7.1.140-RXN
6.3.4.13	phosphoribosylamine--glycine ligase	GLYRIBONUCSYN-RXN
2.1.2.2	phosphoribosylglycinamide formyltransferase 1	GART-RXN
6.3.1.i	phosphoribosylglycinamide formyltransferase 2	GARTRANSFORMYL2-RXN
6.3.5.3	phosphoribosylformylglycinamide synthetase	FGAMSYN-RXN
6.3.3.1	phosphoribosylformylglycinamide cyclo-ligase	AIRS-RXN
3.5.1.4	acrylamide amidase	R311-RXN
6.3.4.4	adenylosuccinate synthase	ADENYLOSUCCINATE-SYNTHASE-RXN
4.3.2.2	adenylosuccinate lyase	AMPSYN-RXN+AICARSYN-RXN
2.7.4.3	adenylate kinase	ADENYL-KIN-RXN
1.1.98.6	ATP reductase	RXN0-745+RXN0-746+RXN0-724+RXN0-723
2.7.1.156	ATP:adenosylcobinamide phosphotransferase	COBINAMIDEKIN-RXN
3.5.1.90	adenosylcobinamide hydrolase	R346-RXN
1.14.15.26	toluene monooxygenase	TOLUENE-SIDE-CHAIN-MONOOXYGENASE-RXN
1.14.13.243	toluene ortho-monooxygenase	TOLUENE-2-MONOOXYGENASE-RXN+O-CRESOL-METHYLCATECHOL-RXN
1.14.13.236	toluene 4-monooxygenase	TOLUENE-4-MONOOXYGENASE-RXN+M-CRESOL-METHYLCATECHOL-RXN
1.1.1.90	benzyl alcohol dehydrogenase	BENZYL-ALC-DEHYDROGENASE-RXN
2.4.1.13	sucrose synthase	SUCROSE-SYNTHASE-RXN
2.7.1.4	fructokinase	FRUCTOKINASE-RXN
2.4.1.115	cyanidin 3-O-glucosyltransferase	RXN1F-775
2.3.1.215	4-coumaroyl-CoA:cyanidin-3-O-beta-D-glucoside-6''-O-acyltransferase	RXN-8204
2.4.1.298	cyanidin 5-O-glucosyltransferase	RXN-8169+RXN-8228+RXN-8234
2.3.1.172	malonyl-CoA:shisonin 6-O-malonyltransferase	RXN-8171+2.3.1.172-RXN
2.3.1.153	caffeoyl-CoA:delphinidin-3,5-diglucoside 5-O-glucoside-6-O-hydroxycinnamoyltransferase	RXN-8233
2.4.1.238	UDP-D-glucose:delphinidin-3,5-diglucoside -O-beta-D-glucosyltransferase	RXN-8231
2.3.1.171	anthocyanidin-3-O-glucoside-6"-O-malonyltransferase	RXN-7834
2.3.1.214	anthocyanin 5-O-glucoside-4'''-O-malonyltransferase	RXN-8139
3.8.1.8	atrazine chlorohydrolase	3.8.1.8-RXN
3.5.2.15	cyanuric acid amidohydrolase	RXN-20062
3.5.4.43	hydroxyatrazine ethylaminohydrolase	R122-RXN
3.5.4.42	N-isopropylammelide isopropylaminohydrolase	R123-RXN
2.1.1.111	anthranilate N-methyltransferase	ANTHRANILATE-N-METHYLTRANSFERASE-RXN
1.14.14.63	cytochrome P450 dependent beta-amyrin 16beta-hydroxylase	RXN-15385
4.1.1.37	uroporphyrinogen decarboxylase	UROGENDECARBOX-RXN
1.3.98.3	coproporphyrinogen dehydrogenase	HEMN-RXN
6.6.1.1	magnesium chelatase	RXN1F-20
2.1.1.11	magnesium protoporphyrin IX methyltransferase	RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN
1.3.7.7	light-independent 3,8-divinyl-protochlorophyllide reductase	RXN-17485
1.3.7.13	3,8-divinyl chlorophyllide a 8-vinyl-reductase (ferredoxin)	RXN-17491
1.3.1.75	3,8-divinyl chlorophyllide a 8-vinyl-reductase (NADPH)	RXN-5286
1.3.7.15	chlorophyllide a reductase	RXN-8792+RXN-17425+RXN-8786
4.2.1.165	3-vinyl bacteriochlorophyllide a hydratase	RXN-8793+RXN-8785
1.1.1.396	3-hydroxyethyl-bacteriochlorophyllide a dehydrogenase	RXN-17424+RXN-8787
2.5.1.133	bacteriochlorophyll a synthase	RXN-8788
5.3.1.12	D-glucuronate isomerase	GLUCUROISOM-RXN+GALACTUROISOM-RXN
1.1.1.57	D-mannonate oxidoreductase	MANNONOXIDOREDUCT-RXN
4.2.1.8	D-mannonate dehydratase	MANNONDEHYDRAT-RXN
1.13.11.29	4,5-DOPA-dioxygenase	RXN-8460
4.2.3.124	2-deoxy-scyllo-inosose synthase	RXN-13116
1.1.99.38	2-deoxy-scyllo-inosamine dehydrogenase	RXN-13221
2.4.2.49	neamine phosphoribosyltransferase	RXN-13203
3.1.3.88	5''-phosphoribostamycin phosphatase	RXN-13204
4.1.1.95	L-glutamyl-[BtrI acyl-carrier protein] decarboxylase	RXN-13214
6.2.1.39	4-amino butanoyl-[BtrI acyl-carrier protein]--L-glutamate ligase	RXN-13215
1.14.14.13	4-(L-gamma-glutamylamino)butanoyl-[BtrI acyl-carrier protein] monooxygenase	RXN-13216
2.3.2.19	ribostamycin:(S)-2-hydroxy-4-glutamyl-4-aminobutanoyl-[BtrI acyl-carrier protein] (S)-2-hydroxy-4-glutamyl-4-aminobutanoate transferase	RXN-13217
4.3.2.6	gamma-L-glutamyl-butirosin B gamma-glutamyl cyclotransferase	RXN-13218
1.1.99.M1	3beta-hydroxysteroid dehydrogenase/Delta5-Delta4-isomerase	RXN-4226
1.14.14.147	(22S)-22-hydroxy-5alpha-campestan-3-one C-23 hydroxylase	RXN-11101
4.1.3.38	4-amino-4-deoxychorismate lyase	ADCLY-RXN
5.2.1.12	zeta-carotene isomerase	RXN-11354
5.2.1.13	prolycopene isomerase	RXN-8042
5.5.1.18	trans-lycopene epsilon-cyclase	RXN1F-147
1.14.14.158	zeinoxanthin epsilon-monooxygenase	RXN-5962
5.3.99.9	neoxanthin synthase	RXN1F-155
4.2.1.45	CDP-D-glucose-4,6-dehydratase	CDP-GLUCOSE-46-DEHYDRATASE-RXN
1.17.1.1	CDP-4-dehydro-6-deoxyglucose reductase	1.17.1.1-RXN
5.1.3.M5	CDP-3, 6-dideoxy-D-glycero-D-glycero-4-hexulose-5-epimerase	RXN-9188
1.1.1.M47	CDP-3, 6-dideoxy-D-glycero-L-glycero-4-hexulose-4-reductase	RXN-9161
1.1.1.341	CDP-abequose synthase	RXN-9158
1.1.1.342	CDP-paratose synthase	RXN-9159
5.1.3.10	CDP-paratose 2-epimerase	RXN-9160
6.2.1.42	3-oxocholest-4-en-26-oate-CoA ligase	RXN-12702+RXN-17650
1.3.99.4	androst-4-en-3,17-dione Delta1-dehydrogenase	RXN-12714
1.14.15.30	androsta-1,4-diene-3,17-dione 9alpha-hydroxylase	RXN-12691
1.14.14.12	3-hydroxy-9,10-seconandrost-1,3,5(10)-triene-9,17-dione 4-monooxygenase	RXN-12717
1.13.11.25	3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4,5-dioxygenase	1.13.11.25-RXN
3.7.1.17	4,5-9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase	RXN-12718
6.2.1.41	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase	RXN-12746
4.2.1.132	2-hydroxyhexa-2,4-dienoate hydratase	RXN-12734
4.1.3.43	4-hydroxy-2-oxohexanoate aldolase	RXN-12735
4.1.99.-	(5R,7aS)-7a-methyl-1,5-dioxo-3,5,6,7-tetrahydro-2H-indene-4-carboxyl-CoA hydrolase	RXN-19798+RXN-19799
1.3.8.-	7-carboxy-5-methyl-4-oxoheptanoyl-CoA dehydrogenase	RXN-19801+RXN-12572
3.6.1.67	dihydroneopterin triphosphate diphosphatase	H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN
4.1.2.25	dihydroneopterin aldolase	H2NEOPTERINALDOL-RXN
2.7.6.3	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	H2PTERIDINEPYROPHOSPHOKIN-RXN
2.2.1.9	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	2.5.1.64-RXN
4.2.99.20	(1R,6R)-2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	RXN-9310
4.2.1.113	o-succinylbenzoate synthase	O-SUCCINYLBENZOATE-COA-SYN-RXN
6.2.1.26	o-succinylbenzoate--CoA ligase	O-SUCCINYLBENZOATE-COA-LIG-RXN
4.1.3.36	1,4-dihydroxy-2-naphthoyl-CoA synthase	NAPHTHOATE-SYN-RXN
3.1.2.28	1,4-dihydroxy-2-naphthoyl-CoA hydrolase	RXN-9311
2.5.1.74	1,4-dihydroxy-2-naphthoate octaprenyltransferase	DMK-RXN+RXN-9190
2.1.1.163	demethylmenaquinone methyltransferase	ADOMET-DMK-METHYLTRANSFER-RXN+RXN-9220+RXN-9191
2.6.1.85	4-amino-4-deoxychorismate synthase	PABASYN-RXN
2.5.1.15	dihydropteroate synthase	H2PTEROATESYNTH-RXN
6.3.2.12	dihydrofolate synthetase	DIHYDROFOLATESYNTH-RXN
2.5.1.39	4-hydroxybenzoate octaprenyltransferase	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN
4.1.1.98	3-octaprenyl-4-hydroxybenzoate decarboxylase	3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN
1.14.13.240	2-octaprenylphenol 6-hydroxylase	2-OCTAPRENYLPHENOL-HYDROX-RXN
2.1.1.222	2-octaprenyl-6-hydroxyphenol methylase	2-OCTAPRENYL-6-OHPHENOL-METHY-RXN
1.14.13.M56	2-octaprenyl-6-methoxyphenol 4-hydroxylase	2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN
2.1.1.201	2-octaprenyl-6-methoxy-1,4-benzoquinol methylase	2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN+RXN3O-54
1.14.99.60	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN+RXN3O-75
2.1.1.64	3-demethylubiquinone-8 3-O-methyltransferase	DHHB-METHYLTRANSFER-RXN+RXN3O-102
2.7.2.7	butyrate kinase	BUTYRATE-KINASE-RXN
3.2.1.183	UDP-N-acetylglucosamine 2-epimerase	RXN-9987
2.7.7.92	2-keto-3-deoxy-D-glycero-D-galacto-nononate cytidylyltransferase	RXN-9993
2.5.1.56	N-acetylneuraminate synthase	N-ACETYLNEURAMINATE-SYNTHASE-RXN
2.5.1.57	N-acetylneuraminate 9-phosphate synthase	RXN-9988
3.1.3.29	N-acetylneuraminate-9-phosphate phosphatase	RXN-9989
2.7.7.43	cytidine 5'-monophosphate N-acetylneuraminate synthetase	RXN-9990
1.14.18.2	cytidine monophosphate-N-acetylneuraminate hydroxylase	1.14.18.2-RXN
2.1.2.11	ketopantoate hydroxymethyltransferase	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN
6.2.1.17	long-chain acyl-CoA synthetase	PROPIONATE--COA-LIGASE-RXN
6.3.2.51	phosphopantothenate--cysteine ligase (ATP)	RXN66-555
4.2.1.42	galactarate dehydratase	GALACTARDEHYDRA-RXN
4.1.2.20	alpha-dehydro-beta-deoxy-D-glucarate aldolase	KDGALDOL-RXN
1.1.1.60	tartronate semialdehyde reductase	TSA-REDUCT-RXN
3.1.3.62	inositol-1,3,4,5-tetrakisphosphate 3-phosphatase	3.1.3.62-RXN
3.1.3.56	inositol-(1,4,5)-trisphosphate 5-phosphatase	3.1.3.56-RXN+RXN-8730
3.1.3.57	inositol 1,4-bisphosphate 1-phosphatase	3.1.3.57-RXN
3.1.3.25	myo-inositol-4-phosphate monophosphatase	RXN-10952
4.2.1.151	chorismate dehydratase	RXN-12345
3.2.2.30	aminodeoxyfutalosine nucleosidase	RXN-12346
1.21.98.1	dehypoxanthinylfutalosine cyclase	RXN-10620
1.14.13.131	dimethylsulfide monooxygenase	RXN-9740
4.4.1.3	dimethylsulfoniopropionate lyase	DIMETHYLPROPIOTHETIN-DETHIOMETHYLASE-RXN
2.1.1.269	dimethylsulfoniopropionate demethylase	RXN-9736
6.2.1.44	3-methylmercaptopropionyl-CoA ligase	RXN-12571
5.5.1.12	(+)-copalyl diphosphate synthase	RXN-4861
4.2.3.44	isopimara-7,15-diene synthase	RXN-8514
4.2.3.32	levopimaratadiene synthase	RXN-8511
4.2.3.132	neoabietadiene synthase	RXN-8512
4.2.3.18	abietadiene synthase	4.2.3.18-RXN
1.1.1.384	dTDP-3,4-diketo-2,6-dideoxy-D-glucose 3-ketoreductase	RXN-16262
4.2.1.164	dTDP-4-dehydro-2,6-dideoxy-D-glucose 3-dehydratase	RXN-12406
2.6.1.110	dTDP-4-dehydro-2,3,6-trideoxy-D-glucose 4-aminotransferase	RXN-12407
2.6.1.33	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase	2.6.1.33-RXN
2.3.1.209	dTDP-4-amino-4,6-dideoxy-D-glucose acetyltransferase	RXN-13755
5.3.2.3	dTDP-6-deoxy-3,4-keto-hexulose isomerase	RXN-12839
2.6.1.90	dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase	RXN-12811
2.3.1.197	dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose 3-N-acetyltransferase	RXN-12806
1.1.1.266	dTDP-4-dehydro-6-deoxyglucose reductase	1.1.1.266-RXN+RXN-14532
5.4.99.59	dTDP-fucopyranose mutase	RXN-14533
5.3.2.4	TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase	RXN-12840
2.6.1.89	dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose transaminase	RXN-12810
1.1.1.339	dTDP-6-deoxy-L-talose 4-dehydrogenase	RXN-13749
1.1.1.133	dTDP-4-dehydrorhamnose reductase	DTDPDEHYRHAMREDUCT-RXN
1.3.1.71	C-24 sterol reductase	1.3.1.71-RXN
1.5.1.46	agroclavine dehydrogenase	RXN-11390
2.3.1.94	6-deoxyerythronolide B synthase	ERYTHRONOLIDE-SYNTHASE-RXN
1.14.15.35	6-deoxyerythronolide B 6S-monooxygenase	RXN-12918
2.4.1.328	dTDP-L-mycarosyl: erythronolide B mycarosyltransferase	RXN-12933
4.3.1.30	dTDP-4-amino-4,6-dideoxy-D-glucose deaminase	RXN-12769
2.6.1.106	dTDP-3-oxo-3,4,6-trideoxy-alpha-D-glucopyranose transaminase	RXN-12768
2.1.1.234	dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose N,N-dimethyltransferase	RXN-12767
2.4.1.278	3-L-mycarosyl erythronolide B desosaminyltransferase	RXN-12808
1.14.13.154	erythromycin D C-12 monooxygenase	RXN-12925+RXN-12926
2.1.1.254	erythromycin C 3''-o-methyltransferase	RXN-12923+RXN-12924
1.14.14.82	dihydrokaempferol,NADPH:oxygen oxidoreductase (3-hydroxylating)	RXN-525
1.14.20.6	dihydrokaempferol dioxygenase	RXN1F-93+RXN-527
1.14.14.81	dihydrokaempferol,NADPH:oxygen oxidoreductase	RXN-7782
2.4.1.237	UDP-glucose:kaempferol 7-O-glucosyltransferase	RXN-8263+RXN-8264
2.4.1.91	flavonol 3-O-glucosyltransferase	RXN1F-461+RXN1F-462
2.4.1.239	flavonol 3-O-glucosyltransferase	RXN-8289
2.1.1.76	quercetin 3-O-methyltransferase	QUERCETIN-3-O-METHYLTRANSFERASE-RXN
2.8.2.25	quercetin 3-sulfotransferase	FLAVONOL-3-SULFOTRANSFERASE-RXN
1.14.14.89	isoflavone 2'-hydroxylase	RXN-3765+ISOFLAVONE-2-HYDROXYLASE-RXN
1.3.1.45	isoflavone reductase	RXN-3562+RXN-3766
1.1.1.348	vestitone reductase	RXN-3601+RXN-3768
5.1.3.32	L-rhamnose mutarotase	RXN0-5306
5.3.1.14	L-rhamnose isomerase	RHAMNISOM-RXN
2.7.1.5	rhamnulokinase	RHAMNULOKIN-RXN
4.1.2.19	rhamnulose-1-phosphate aldolase	RHAMNULPALDOL-RXN
5.3.1.25	L-fucose isomerase	FUCISOM-RXN
2.7.1.51	L-fuculokinase	FUCULOKIN-RXN+DARABKIN-RXN
2.5.1.106	tryprostatin B synthase	RXN-14418
1.14.14.118	tryprostatin B 6-hydroxylase	RXN-14413
2.1.1.293	6-hydroxytryprostatin B O-methyltransferase	RXN-14927
1.14.19.71	fumitremorgin C synthase	RXN-14415+RXN-14416
1.14.14.119	fumitremorgin C monooxygenase	RXN-14414
2.5.1.110	12alpha,13alpha-dihydroxyfumitremorgin C prenyltransferase	RXN-14420
1.14.11.38	verruculogen synthase	RXN-14407
2.5.1.107	verruculogen O-prenyltransferase	RXN-14421
1.1.1.135/1.1.1.187	GDP-4-keto-6-deoxy-D-mannose reductase	GDP-6-DEOXY-D-TALOSE-4-DEHYDROGENASE-RXN
1.1.1.187/1.1.1.281	GDP-4-keto-6-deoxy-D-mannose reductase	GDP-4-DEHYDRO-D-RHAMNOSE-REDUCTASE-RXN
2.6.1.102	GDP-4-dehydro-6-deoxy-D-mannose-4-aminotransferase	RXN-8953
1.1.1.356	GDP-L-colitose synthase	RXN-8955
5.5.1.13	ent-copalyl diphosphate synthase	5.5.1.13-RXN
1.14.11.12	(gibberellin-44), 2-oxoglutarate:oxygen oxidoreductase	RXN1F-168
1.14.11.15	GA20 3beta-dioxygenase	RXN1F-170
4.2.1.133	copal-8-ol diphosphate synthase	RXN-11772
4.2.3.140	cis-abienol synthase	RXN-13770
2.4.2.-	beta1-tomatine xylosyltransferase	RXN18C3-12
2.4.1.173	solasodine 3-O-glucosyltransferase	RXN-12123
2.7.1.73	guanosine kinase	GUANOSINEKIN-RXN
2.4.2.8	guanine phosphoribosyltransferase	GUANPRIBOSYLTRAN-RXN+HYPOXANPRIBOSYLTRAN-RXN
6.3.5.2	xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming)	GMP-SYN-GLUT-RXN
2.7.4.8	guanylate kinase	GUANYL-KIN-RXN
1.3.3.3	coproporphyrinogen III oxidase	RXN0-1461
1.3.3.4	protoporphyrinogen oxidase	PROTOPORGENOXI-RXN
4.99.1.1	ferrochelatase	PROTOHEMEFERROCHELAT-RXN
1.3.5.3	protoporphyrinogen oxidase	RXN-21483+RXN0-6259
1.1.1.140	sorbitol-6-phosphate 2-dehydrogenase	SORB6PDEHYDROG-RXN
1.1.1.251	galactitol-1-phosphate 5-dehydrogenase	1.1.1.251-RXN
2.7.1.144	tagatose-6-phosphate kinase	TAGAKIN-RXN
4.1.2.40	tagatose-1,6-bisphosphate aldolase	TAGAALDOL-RXN
1.1.1.58	tagaturonate reductase	ALTRO-OXIDOREDUCT-RXN
4.2.1.7	D-altronate dehydratase	ALTRODEHYDRAT-RXN
2.7.6.1	ribose-phosphate diphosphokinase	PRPPSYN-RXN
2.1.3.2	aspartate carbamoyltransferase	ASPCARBTRANS-RXN
3.5.2.3	dihydroorotase	DIHYDROOROT-RXN
1.3.5.2	dihydroorotate dehydrogenase	DIHYDROOROTATE-DEHYDROGENASE-RXN
2.4.2.10	orotate phosphoribosyltransferase	OROPRIBTRANS-RXN
4.1.1.23	orotidine-5'-phosphate decarboxylase	OROTPDECARB-RXN
2.7.4.14/2.7.4.22	UMP kinase	RXN-12002
6.3.4.2	CTP synthetase	CTPSYN-RXN
2.4.2.14	amidophosphoribosyltransferase	PRPPAMIDOTRANS-RXN
6.3.4.18	5-(carboxyamino)imidazole ribonucleotide synthase	RXN0-742
5.4.99.18	N5-carboxyaminoimidazole ribonucleotide mutase	RXN0-743
6.3.2.6	phosphoribosylaminoimidazole-succinocarboxamide synthase	SAICARSYN-RXN
2.4.2.17	ATP phosphoribosyltransferase	ATPPHOSPHORIBOSYLTRANS-RXN
3.6.1.31	phosphoribosyl-ATP pyrophosphatase	HISTPRATPHYD-RXN
3.5.4.19	phosphoribosyl-AMP cyclohydrolase	HISTCYCLOHYD-RXN
5.3.1.16	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	PRIBFAICARPISOM-RXN
4.3.2.10	imidazole glycerol phosphate synthase	GLUTAMIDOTRANS-RXN
2.1.2.3	AICAR transformylase	AICARTRANSFORM-RXN
3.5.4.10	IMP cyclohydrolase	IMPCYCLOHYDROLASE-RXN
4.2.1.19	imidazoleglycerol-phosphate dehydratase	IMIDPHOSDEHYD-RXN
2.6.1.9	histidinol-phosphate aminotransferase	HISTAMINOTRANS-RXN
3.1.3.15	histidinol-phosphatase	HISTIDPHOS-RXN
1.1.1.206	tropinone reductase	TROPINE-DEHYDROGENASE-RXN
1.14.11.11	hyoscyamine 6beta-hydroxylase	HYOSCYAMINE-6-DIOXYGENASE-RXN
1.14.20.13	hyoscyamine 6 beta-hydroxylase	6-BETA-HYDROXYHYOSCYAMINE-EPOXIDASE-RXN
1.14.14.87	apigenin,NADPH:oxygen oxidoreductase	RXN-7750
4.2.1.105	2-hydroxyisoflavanone naringenin hydro-lyase (genistein-forming)	RXN-3303
1.14.14.90	genistein 2'-hydroxylase	RXN-7141+RXN-4501
1.3.1.51	2'-hydroxydaidzein reductase	RXN-7224+RXN-4502
6.3.2.z	jasmonoyl-leucine synthetase	RXN-10459+RXN-10455+RXN-10457
